Keys	Ponderation	Abs Prob Total 00	Abs Prob Total 01	Abs Prob Total 02	Abs Prob Total 03	Abs Prob Total 04	Abs Prob Total 05	Abs Prob Csat 00	Abs Prob Csat 01	Abs Prob Csat 02	Abs Prob Csat 03	Abs Prob Csat 04	Abs Prob Csat 05	Abs Prob Cinst 00	Abs Prob Cinst 01	Abs Prob Cinst 02	Abs Prob Cinst 03	Abs Prob Cinst 04	Abs Prob Cinst 05	Abs Prob Halog 00	Abs Prob Halog 01	Abs Prob Halog 02	Abs Prob Halog 03	Abs Prob Halog 04	Abs Prob Halog 05	Abs Prob Hetero 00	Abs Prob Hetero 01	Abs Prob Hetero 02	Abs Prob Hetero 03	Abs Prob Hetero 04	Abs Prob Hetero 05	Abs Prob Hx 00	 Abs Prob Hx 01	 Abs Prob Hx 02	 Abs Prob Hx 03	 Abs Prob Hx 04	 Abs Prob Hx 05	 Entropy Total 00	Entropy Total 01	Entropy Total 02	Entropy Total 03	Entropy Total 04	Entropy Total 05	Entropy Csat 00	Entropy Csat 01	Entropy Csat 02	Entropy Csat 03	Entropy Csat 04	Entropy Csat 05	Entropy Cinst 00	Entropy Cinst 01	Entropy Cinst 02	Entropy Cinst 03	Entropy Cinst 04	Entropy Cinst 05	Entropy Halog 00	Entropy Halog 01	Entropy Halog 02	Entropy Halog 03	Entropy Halog 04	Entropy Halog 05	Entropy Hetero 00	Entropy Hetero 01	Entropy Hetero 02	Entropy Hetero 03	Entropy Hetero 04	Entropy Hetero 05	Entropy Hx 00	  Entropy Hx 01	  Entropy Hx 02	  Entropy Hx 03	  Entropy Hx 04	  Entropy Hx 05	  Momment Total 00	Momment Total 01	Momment Total 02	Momment Total 03	Momment Total 04	Momment Total 05	Momment Csat 00	Momment Csat 01	Momment Csat 02	Momment Csat 03	Momment Csat 04	Momment Csat 05	Momment Cinst 00	Momment Cinst 01	Momment Cinst 02	Momment Cinst 03	Momment Cinst 04	Momment Cinst 05	Momment Halog 00	Momment Halog 01	Momment Halog 02	Momment Halog 03	Momment Halog 04	Momment Halog 05	Momment Hetero 00	Momment Hetero 01	Momment Hetero 02	Momment Hetero 03	Momment Hetero 04	Momment Hetero 05	Momment Hx 00	  Momment Hx 01	  Momment Hx 02	  Momment Hx 03	  Momment Hx 04	  Momment Hx 05	  Mean Property Total 00	Mean Property Total 01	Mean Property Total 02	Mean Property Total 03	Mean Property Total 04	Mean Property Total 05	Mean Property Csat 00	Mean Property Csat 01	Mean Property Csat 02	Mean Property Csat 03	Mean Property Csat 04	Mean Property Csat 05	Mean Property Cinst 00	Mean Property Cinst 01	Mean Property Cinst 02	Mean Property Cinst 03	Mean Property Cinst 04	Mean Property Cinst 05	Mean Property Halog 00	Mean Property Halog 01	Mean Property Halog 02	Mean Property Halog 03	Mean Property Halog 04	Mean Property Halog 05	Mean Property Hetero 00	Mean Property Hetero 01	Mean Property Hetero 02	Mean Property Hetero 03	Mean Property Hetero 04	Mean Property Hetero 05	Mean Property Hx 00	Mean Property Hx 01	Mean Property Hx 02	Mean Property Hx 03	Mean Property Hx 04	Mean Property Hx 05	
prueba3.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.0833333333333 	0.123           	0.1263083333333 	0.1242083333333 	0.1240583333333 	0.123575        	0.1666666666666 	0.246           	0.2526166666666 	0.2484166666666 	0.2481166666666 	0.24715         	0.0833333333333 	0.123           	0.1263083333333 	0.1242083333333 	0.1240583333333 	0.123575        	0.25            	0.369           	0.3789249999999 	0.3726249999999 	0.3721749999999 	0.370725        	0.25            	0.369           	0.3789249999999 	0.3726249999999 	0.3721749999999 	0.370725        	1.0791812460476 	1.3433000555154 	1.3619595106823 	1.3501683304945 	1.3493190596660 	1.3465760848879 	0.7476927399699 	0.9306830551296 	0.9436109476511 	0.9354416249776 	0.9348532218386 	0.9329527974798 	1.4953854799399 	1.8613661102592 	1.8872218953022 	1.8708832499552 	1.8697064436772 	1.8659055949597 	0.7476927399699 	0.9306830551296 	0.9436109476511 	0.9354416249776 	0.9348532218386 	0.9329527974798 	2.2430782199099 	2.7920491653888 	2.8308328429533 	2.8063248749328 	2.8045596655158 	2.7988583924396 	2.2430782199099 	2.7920491653888 	2.8308328429533 	2.8063248749328 	2.8045596655158 	2.7988583924396 	12              	5.4887          	4.8521          	4.5382          	4.248           	4.024           	1               	0.3628          	0.2985          	0.2931          	0.2738          	0.262           	2               	0.6498          	0.5331          	0.5169          	0.4838          	0.4632          	1               	0.4306          	0.3399          	0.2909          	0.256           	0.2317          	3               	1.5484          	1.3846          	1.2778          	1.1903          	1.1222          	3               	2.1378          	2.0394          	1.9486          	1.863           	1.782           	2.4208333333333 	14.175585       	12.50208        	11.66308        	10.899345       	10.31524        	2.5             	0.907           	0.74625         	0.73275         	0.6845          	0.655           	2.5             	1.6245          	1.33275         	1.29225         	1.2095          	1.158           	2.5             	1.0765          	0.84975         	0.72725         	0.64            	0.57925         	2.5             	3.871           	3.4615          	3.1945          	2.97575         	2.8055          	2.5             	5.3445          	5.0985          	4.8715          	4.6575          	4.455           	
1corr.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.0740740740740 	0.1036296296296 	0.1032592592592 	0.1031333333333 	0.1024592592592 	0.1020222222222 	0.3703703703703 	0.5181481481481 	0.5162962962962 	0.5156666666666 	0.5122962962962 	0.5101111111111 	0               	0               	0               	0               	0               	0               	0.1481481481481 	0.2072592592592 	0.2065185185185 	0.2062666666666 	0.2049185185185 	0.2040444444444 	0               	0               	0               	0               	0               	0               	1.4313637641589 	1.7984789234843 	1.7942187806134 	1.7927685591825 	1.7849902538809 	1.7799332939241 	0.8815080248309 	1.1075965755443 	1.1049729586681 	1.1040798371143 	1.0992895533901 	1.0961752152359 	4.4075401241547 	5.5379828777218 	5.5248647933407 	5.5203991855717 	5.4964477669504 	5.4808760761797 	0               	0               	0               	0               	0               	0               	1.7630160496619 	2.2151931510887 	2.2099459173362 	2.2081596742287 	2.1985791067802 	2.1923504304719 	0               	0               	0               	0               	0               	0               	27              	8.8723          	6.4993          	5.7293          	4.9849          	4.5398          	2               	0.8512          	0.6804          	0.698           	0.6584          	0.6396          	10              	3.0512          	2.2457          	2.0928          	1.8383          	1.6963          	0               	0               	0               	0               	0               	0               	4               	1.477           	1.1426          	0.9982          	0.8751          	0.7907          	0               	0               	0               	0               	0               	0               	2.3925925925925 	21.49039        	15.86006        	14.05183        	12.25786        	11.17487        	2.5             	2.128           	1.701           	1.745           	1.646           	1.599           	2.34            	7.14976         	5.25569         	4.90012         	4.30311         	3.97119         	0               	0               	0               	0               	0               	0               	2.5             	3.6925          	2.8565          	2.4955          	2.18775         	1.97675         	0               	0               	0               	0               	0               	0               	
2coor.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.0740740740740 	0.1036296296296 	0.1032592592592 	0.1031333333333 	0.1024592592592 	0.1020222222222 	0.3703703703703 	0.5181481481481 	0.5162962962962 	0.5156666666666 	0.5122962962962 	0.5101111111111 	0               	0               	0               	0               	0               	0               	0.1481481481481 	0.2072592592592 	0.2065185185185 	0.2062666666666 	0.2049185185185 	0.2040444444444 	0               	0               	0               	0               	0               	0               	1.4313637641589 	1.7984789234843 	1.7942187806134 	1.7927685591825 	1.7849902538809 	1.7799332939241 	0.8815080248309 	1.1075965755443 	1.1049729586681 	1.1040798371143 	1.0992895533901 	1.0961752152359 	4.4075401241547 	5.5379828777218 	5.5248647933407 	5.5203991855717 	5.4964477669504 	5.4808760761797 	0               	0               	0               	0               	0               	0               	1.7630160496619 	2.2151931510887 	2.2099459173362 	2.2081596742287 	2.1985791067802 	2.1923504304719 	0               	0               	0               	0               	0               	0               	27              	8.8723          	6.4993          	5.7293          	4.9849          	4.5398          	2               	0.8512          	0.6804          	0.698           	0.6584          	0.6396          	10              	3.0512          	2.2457          	2.0928          	1.8383          	1.6963          	0               	0               	0               	0               	0               	0               	4               	1.477           	1.1426          	0.9982          	0.8751          	0.7907          	0               	0               	0               	0               	0               	0               	2.3925925925925 	21.49039        	15.86006        	14.05183        	12.25786        	11.17487        	2.5             	2.128           	1.701           	1.745           	1.646           	1.599           	2.34            	7.14976         	5.25569         	4.90012         	4.30311         	3.97119         	0               	0               	0               	0               	0               	0               	2.5             	3.6925          	2.8565          	2.4955          	2.18775         	1.97675         	0               	0               	0               	0               	0               	0               	
3coor.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.0740740740740 	0.1036296296296 	0.1032592592592 	0.1031333333333 	0.1024592592592 	0.1020222222222 	0.3703703703703 	0.5181481481481 	0.5162962962962 	0.5156666666666 	0.5122962962962 	0.5101111111111 	0               	0               	0               	0               	0               	0               	0.1481481481481 	0.2072592592592 	0.2065185185185 	0.2062666666666 	0.2049185185185 	0.2040444444444 	0               	0               	0               	0               	0               	0               	1.4313637641589 	1.7984789234843 	1.7942187806134 	1.7927685591825 	1.7849902538809 	1.7799332939241 	0.8815080248309 	1.1075965755443 	1.1049729586681 	1.1040798371143 	1.0992895533901 	1.0961752152359 	4.4075401241547 	5.5379828777218 	5.5248647933407 	5.5203991855717 	5.4964477669504 	5.4808760761797 	0               	0               	0               	0               	0               	0               	1.7630160496619 	2.2151931510887 	2.2099459173362 	2.2081596742287 	2.1985791067802 	2.1923504304719 	0               	0               	0               	0               	0               	0               	27              	8.8723          	6.4993          	5.7293          	4.9849          	4.5398          	2               	0.8512          	0.6804          	0.698           	0.6584          	0.6396          	10              	3.0512          	2.2457          	2.0928          	1.8383          	1.6963          	0               	0               	0               	0               	0               	0               	4               	1.477           	1.1426          	0.9982          	0.8751          	0.7907          	0               	0               	0               	0               	0               	0               	2.3925925925925 	21.49039        	15.86006        	14.05183        	12.25786        	11.17487        	2.5             	2.128           	1.701           	1.745           	1.646           	1.599           	2.34            	7.14976         	5.25569         	4.90012         	4.30311         	3.97119         	0               	0               	0               	0               	0               	0               	2.5             	3.6925          	2.8565          	2.4955          	2.18775         	1.97675         	0               	0               	0               	0               	0               	0               	
5coor.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.0740740740740 	0.1036296296296 	0.1032592592592 	0.1031333333333 	0.1024592592592 	0.1020222222222 	0.3703703703703 	0.5181481481481 	0.5162962962962 	0.5156666666666 	0.5122962962962 	0.5101111111111 	0               	0               	0               	0               	0               	0               	0.1481481481481 	0.2072592592592 	0.2065185185185 	0.2062666666666 	0.2049185185185 	0.2040444444444 	0               	0               	0               	0               	0               	0               	1.4313637641589 	1.7984789234843 	1.7942187806134 	1.7927685591825 	1.7849902538809 	1.7799332939241 	0.8815080248309 	1.1075965755443 	1.1049729586681 	1.1040798371143 	1.0992895533901 	1.0961752152359 	4.4075401241547 	5.5379828777218 	5.5248647933407 	5.5203991855717 	5.4964477669504 	5.4808760761797 	0               	0               	0               	0               	0               	0               	1.7630160496619 	2.2151931510887 	2.2099459173362 	2.2081596742287 	2.1985791067802 	2.1923504304719 	0               	0               	0               	0               	0               	0               	27              	8.8723          	6.4993          	5.7293          	4.9849          	4.5398          	2               	0.8512          	0.6804          	0.698           	0.6584          	0.6396          	10              	3.0512          	2.2457          	2.0928          	1.8383          	1.6963          	0               	0               	0               	0               	0               	0               	4               	1.477           	1.1426          	0.9982          	0.8751          	0.7907          	0               	0               	0               	0               	0               	0               	2.3925925925925 	21.49039        	15.86006        	14.05183        	12.25786        	11.17487        	2.5             	2.128           	1.701           	1.745           	1.646           	1.599           	2.34            	7.14976         	5.25569         	4.90012         	4.30311         	3.97119         	0               	0               	0               	0               	0               	0               	2.5             	3.6925          	2.8565          	2.4955          	2.18775         	1.97675         	0               	0               	0               	0               	0               	0               	
prueba1.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.125           	0.22185         	0.2277375       	0.2206          	0.2185125       	0.2154          	0.25            	0.4437          	0.455475        	0.4412          	0.437025        	0.4308          	0               	0               	0               	0               	0               	0               	0.25            	0.4437          	0.455475        	0.4412          	0.437025        	0.4308          	0               	0               	0               	0               	0               	0               	0.9030899869919 	1.1606137182182 	1.1706899954496 	1.1584049992977 	1.1546615047617 	1.1489510115487 	0.9385362689813 	1.2061678066583 	1.2166395777710 	1.2038723955201 	1.1999819688236 	1.1940473387520 	1.8770725379627 	2.4123356133167 	2.4332791555421 	2.4077447910403 	2.3999639376473 	2.3880946775040 	0               	0               	0               	0               	0               	0               	1.8770725379627 	2.4123356133167 	2.4332791555421 	2.4077447910403 	2.3999639376473 	2.3880946775040 	0               	0               	0               	0               	0               	0               	8               	2.9159          	2.2588          	2.0205          	1.8025          	1.6653          	1               	0.4022          	0.3167          	0.3214          	0.2988          	0.2886          	2               	0.6447          	0.5285          	0.5129          	0.4785          	0.4586          	0               	0               	0               	0               	0               	0               	2               	0.9408          	0.7848          	0.6834          	0.6013          	0.5386          	0               	0               	0               	0               	0               	0               	2.5375          	7.62527         	5.97953         	5.35523         	4.77849         	4.4057          	2.5             	1.0055          	0.79175         	0.8035          	0.747           	0.7215          	2.5             	1.61175         	1.32125         	1.28225         	1.19625         	1.1465          	0               	0               	0               	0               	0               	0               	2.5             	2.352           	1.962           	1.7085          	1.50325         	1.3465          	0               	0               	0               	0               	0               	0               	
prueba2.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.125           	0.213925        	0.219575        	0.21435         	0.2133          	0.21145         	0.25            	0.42785         	0.43915         	0.4287          	0.4266          	0.4229          	0.125           	0.213925        	0.219575        	0.21435         	0.2133          	0.21145         	0.25            	0.42785         	0.43915         	0.4287          	0.4266          	0.4229          	0               	0               	0               	0               	0               	0               	0.9030899869919 	1.1461903993122 	1.1565754929243 	1.1469894430405 	1.1450100042610 	1.1414786724706 	0.9385362689813 	1.1911783724852 	1.2019710810215 	1.1920087786799 	1.1899516469283 	1.1862817103651 	1.8770725379627 	2.3823567449704 	2.4039421620431 	2.3840175573598 	2.3799032938566 	2.3725634207303 	0.9385362689813 	1.1911783724852 	1.2019710810215 	1.1920087786799 	1.1899516469283 	1.1862817103651 	1.8770725379627 	2.3823567449704 	2.4039421620431 	2.3840175573598 	2.3799032938566 	2.3725634207303 	0               	0               	0               	0               	0               	0               	8               	2.9824          	2.3237          	2.0715          	1.8481          	1.7046          	1               	0.3874          	0.3072          	0.313           	0.2937          	0.2852          	2               	0.641           	0.5251          	0.5075          	0.4726          	0.4512          	1               	0.4094          	0.3072          	0.2567          	0.2229          	0.2018          	2               	0.9408          	0.7848          	0.6829          	0.6003          	0.5368          	0               	0               	0               	0               	0               	0               	2.65            	8.12598         	6.38714         	5.68714         	5.06906         	4.66306         	2.5             	0.9685          	0.768           	0.7825          	0.73425         	0.713           	2.5             	1.6025          	1.31275         	1.26875         	1.1815          	1.128           	2.5             	1.0235          	0.768           	0.64175         	0.55725         	0.5045          	2.5             	2.352           	1.962           	1.70725         	1.50075         	1.342           	0               	0               	0               	0               	0               	0               	
prueba3.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.0833333333333 	0.123           	0.1263083333333 	0.1242083333333 	0.1240583333333 	0.123575        	0.1666666666666 	0.246           	0.2526166666666 	0.2484166666666 	0.2481166666666 	0.24715         	0.0833333333333 	0.123           	0.1263083333333 	0.1242083333333 	0.1240583333333 	0.123575        	0.25            	0.369           	0.3789249999999 	0.3726249999999 	0.3721749999999 	0.370725        	0.25            	0.369           	0.3789249999999 	0.3726249999999 	0.3721749999999 	0.370725        	1.0791812460476 	1.3433000555154 	1.3619595106823 	1.3501683304945 	1.3493190596660 	1.3465760848879 	0.7476927399699 	0.9306830551296 	0.9436109476511 	0.9354416249776 	0.9348532218386 	0.9329527974798 	1.4953854799399 	1.8613661102592 	1.8872218953022 	1.8708832499552 	1.8697064436772 	1.8659055949597 	0.7476927399699 	0.9306830551296 	0.9436109476511 	0.9354416249776 	0.9348532218386 	0.9329527974798 	2.2430782199099 	2.7920491653888 	2.8308328429533 	2.8063248749328 	2.8045596655158 	2.7988583924396 	2.2430782199099 	2.7920491653888 	2.8308328429533 	2.8063248749328 	2.8045596655158 	2.7988583924396 	12              	5.4887          	4.8521          	4.5382          	4.248           	4.024           	1               	0.3628          	0.2985          	0.2931          	0.2738          	0.262           	2               	0.6498          	0.5331          	0.5169          	0.4838          	0.4632          	1               	0.4306          	0.3399          	0.2909          	0.256           	0.2317          	3               	1.5484          	1.3846          	1.2778          	1.1903          	1.1222          	3               	2.1378          	2.0394          	1.9486          	1.863           	1.782           	2.4208333333333 	14.175585       	12.50208        	11.66308        	10.899345       	10.31524        	2.5             	0.907           	0.74625         	0.73275         	0.6845          	0.655           	2.5             	1.6245          	1.33275         	1.29225         	1.2095          	1.158           	2.5             	1.0765          	0.84975         	0.72725         	0.64            	0.57925         	2.5             	3.871           	3.4615          	3.1945          	2.97575         	2.8055          	2.5             	5.3445          	5.0985          	4.8715          	4.6575          	4.455           	
prueba1.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.125           	0.22185         	0.2277375       	0.2206          	0.2185125       	0.2154          	0.25            	0.4437          	0.455475        	0.4412          	0.437025        	0.4308          	0               	0               	0               	0               	0               	0               	0.25            	0.4437          	0.455475        	0.4412          	0.437025        	0.4308          	0               	0               	0               	0               	0               	0               	0.9030899869919 	1.1606137182182 	1.1706899954496 	1.1584049992977 	1.1546615047617 	1.1489510115487 	0.9385362689813 	1.2061678066583 	1.2166395777710 	1.2038723955201 	1.1999819688236 	1.1940473387520 	1.8770725379627 	2.4123356133167 	2.4332791555421 	2.4077447910403 	2.3999639376473 	2.3880946775040 	0               	0               	0               	0               	0               	0               	1.8770725379627 	2.4123356133167 	2.4332791555421 	2.4077447910403 	2.3999639376473 	2.3880946775040 	0               	0               	0               	0               	0               	0               	8               	2.9159          	2.2588          	2.0205          	1.8025          	1.6653          	1               	0.4022          	0.3167          	0.3214          	0.2988          	0.2886          	2               	0.6447          	0.5285          	0.5129          	0.4785          	0.4586          	0               	0               	0               	0               	0               	0               	2               	0.9408          	0.7848          	0.6834          	0.6013          	0.5386          	0               	0               	0               	0               	0               	0               	2.5375          	7.62527         	5.97953         	5.35523         	4.77849         	4.4057          	2.5             	1.0055          	0.79175         	0.8035          	0.747           	0.7215          	2.5             	1.61175         	1.32125         	1.28225         	1.19625         	1.1465          	0               	0               	0               	0               	0               	0               	2.5             	2.352           	1.962           	1.7085          	1.50325         	1.3465          	0               	0               	0               	0               	0               	0               	
prueba2.che 	Electronegativies	-               	-               	-               	-               	-               	-               	0.125           	0.213925        	0.219575        	0.21435         	0.2133          	0.21145         	0.25            	0.42785         	0.43915         	0.4287          	0.4266          	0.4229          	0.125           	0.213925        	0.219575        	0.21435         	0.2133          	0.21145         	0.25            	0.42785         	0.43915         	0.4287          	0.4266          	0.4229          	0               	0               	0               	0               	0               	0               	0.9030899869919 	1.1461903993122 	1.1565754929243 	1.1469894430405 	1.1450100042610 	1.1414786724706 	0.9385362689813 	1.1911783724852 	1.2019710810215 	1.1920087786799 	1.1899516469283 	1.1862817103651 	1.8770725379627 	2.3823567449704 	2.4039421620431 	2.3840175573598 	2.3799032938566 	2.3725634207303 	0.9385362689813 	1.1911783724852 	1.2019710810215 	1.1920087786799 	1.1899516469283 	1.1862817103651 	1.8770725379627 	2.3823567449704 	2.4039421620431 	2.3840175573598 	2.3799032938566 	2.3725634207303 	0               	0               	0               	0               	0               	0               	8               	2.9824          	2.3237          	2.0715          	1.8481          	1.7046          	1               	0.3874          	0.3072          	0.313           	0.2937          	0.2852          	2               	0.641           	0.5251          	0.5075          	0.4726          	0.4512          	1               	0.4094          	0.3072          	0.2567          	0.2229          	0.2018          	2               	0.9408          	0.7848          	0.6829          	0.6003          	0.5368          	0               	0               	0               	0               	0               	0               	2.65            	8.12598         	6.38714         	5.68714         	5.06906         	4.66306         	2.5             	0.9685          	0.768           	0.7825          	0.73425         	0.713           	2.5             	1.6025          	1.31275         	1.26875         	1.1815          	1.128           	2.5             	1.0235          	0.768           	0.64175         	0.55725         	0.5045          	2.5             	2.352           	1.962           	1.70725         	1.50075         	1.342           	0               	0               	0               	0               	0               	0               	
